#
# http://www.portaldalinguaportuguesa.org/index.php?action=gentilicos&act=list
#
# toponym;type;demonym:pos;holonym
# toponym (language variant);type;demonym:pos;holonym (country)
#
Alemanha;país;alemão:N;Europa
Alemanha;país;germânico:ADJ;Europa
Alemanha;país;germânico:N;Europa
Alemanha;país;germano:ADJ;Europa
Alemanha;país;germano:N;Europa
Alemanha;país;tedesco:ADJ;Europa
Alemanha;país;tudesco:ADJ;Europa
Alenquer;vila;alenquerense:ADJ;Lisboa (Portugal)
Alenquer;vila;alenquerense:N;Lisboa (Portugal)
Alentejo;região;alentejano:ADJ;Portugal
Alentejo;região;alentejano:N;Portugal
Alepo;cidade;alepino:ADJ;Síria
Alepo;cidade;alepino:N;Síria
Alétrio;cidade;aletrinate:ADJ;Itália
Alétrio;cidade;aletrinate:N;Itália
Alétrio;cidade;aletriniense:ADJ;Itália
Alétrio;cidade;aletriniense:N;Itália
Alétrio;cidade;aletrino:ADJ;Itália
Alétrio;cidade;aletrino:N;Itália
Alexandria;cidade;alexandrino:ADJ;Egipto
Alexandria;cidade;alexandrino:N;Egipto
Alfândega da Fé;vila;alfandeguense:ADJ;Bragança (Portugal)
Alfândega da Fé;vila;alfandeguense:N;Bragança (Portugal)
Algarve;região;algarviense:ADJ;Portugal
Algarve;região;algarviense:N;Portugal
Algarve;região;algarvio:ADJ;Portugal
Algarve;região;algarvio:N;Portugal
Alicante;cidade;alicantino:ADJ;Espanha
Alicante;cidade;alicantino:N;Espanha
Alijó;vila;alijoense:ADJ;Vila Real (Portugal)
Alijó;vila;alijoense:N;Vila Real (Portugal)
Aljezur;vila;aljezurense:ADJ;Faro (Portugal)
Aljezur;vila;aljezurense:N;Faro (Portugal)
Aljubarrota;vila;aljubarrotense:ADJ;Leiria (Portugal)
Aljubarrota;vila;aljubarrotense:N;Leiria (Portugal)
Aljustrel;vila;aljustrelense:ADJ;Beja (Portugal)
Aljustrel;vila;aljustrelense:N;Beja (Portugal)
Almada;cidade;almadense:ADJ;Setúbal (Portugal)
Almada;cidade;almadense:N;Setúbal (Portugal)
Almeida;vila;almeidense:ADJ;Guarda (Portugal)
Almeida;vila;almeidense:N;Guarda (Portugal)
Almeirim;cidade;almeirinense:ADJ;Santarém (Portugal)
Almeirim;cidade;almeirinense:N;Santarém (Portugal)
Almodôvar;vila;almodovarense:ADJ;Beja (Portugal)
Almodôvar;vila;almodovarense:N;Beja (Portugal)
Alpes;região;alpino:ADJ;Europa
Alpes;região;alpino:N;Europa
Alpiarça;vila;alpiarcense:ADJ;Santarém (Portugal)
Alpiarça;vila;alpiarcense:N;Santarém (Portugal)
Alsácia;região;alsaciano:ADJ;França
Alsácia;região;alsaciano:N;França
Altair;cidade;altairano:ADJ;São Paulo (Brasil)
Altair;cidade;altairano:N;São Paulo (Brasil)
Alter do Chão;vila;alterense:ADJ;Portalegre (Portugal)
Alter do Chão;vila;alterense:N;Portalegre (Portugal)
Altinópolis;cidade;altinopolense:ADJ;São Paulo (Brasil)
Altinópolis;cidade;altinopolense:N;São Paulo (Brasil)
Alto Alegre;cidade;alto-alegrense:ADJ;Rio Grande do Sul (Brasil)
Alto Alegre;cidade;alto-alegrense:N;Rio Grande do Sul (Brasil)
Alvaiázere;vila;alvaiazerense:ADJ;Leiria (Portugal)
Alvaiázere;vila;alvaiazerense:N;Leiria (Portugal)
Álvaro de Carvalho;cidade;álvaro-carvalhense:ADJ;São Paulo (Brasil)
Álvaro de Carvalho;cidade;álvaro-carvalhense:N;São Paulo (Brasil)
Alverca;vila;alverquense:ADJ;Lisboa (Portugal)
Alverca;vila;alverquense:N;Lisboa (Portugal)
Alvito;vila;alvitense:ADJ;Beja (Portugal)
Alvito;vila;alvitense:N;Beja (Portugal)
Alvorada de Minas;cidade;alvoradense:ADJ;Minas Gerais (Brasil)
Alvorada de Minas;cidade;alvoradense:N;Minas Gerais (Brasil)
Amadora;cidade;amadorense:ADJ;Lisboa (Portugal)
Amadora;cidade;amadorense:N;Lisboa (Portugal)
Amapá;estado;amapaense:ADJ;Brasil
